#,Player,Lastname,FirstName,Team,Pos,Avg. Pick,Min. Pick,Max. Pick,# Drafts Selected In,Season
1375,"Hill, Stephen NYJ WR","Hill,",Stephen,NYJ,WR,190.75,30,460,2141,2013
1376,"Ertz, Zach PHI TE","Ertz,",Zach,PHI,TE,191.67,16,605,1784,2013
1377,"Suggs, Terrell BAL LB","Suggs,",Terrell,BAL,LB,191.74,38,622,449,2013
1378,"Harris, DuJuan GBP RB","Harris,",DuJuan,GBP,RB,191.86,13,638,1353,2013
1379,"Chargers, SanDiego SDC Def","Chargers,",SanDiego,SDC,Def,192.17,7,489,1717,2013
1380,"Vinatieri, Adam IND PK","Vinatieri,",Adam,IND,PK,193.2,25,1051,2689,2013
1381,"Pollard, Bernard TEN S","Pollard,",Bernard,TEN,S,193.3,48,851,500,2013
1382,"Moss, Santana WAS WR","Moss,",Santana,WAS,WR,193.53,23,693,1788,2013
1383,"Brown, Josh NYG PK","Brown,",Josh,NYG,PK,193.73,28,1056,2999,2013
1384,"Robinson, Denard JAC RB","Robinson,",Denard,JAC,RB,193.76,17,584,1995,2013
1385,"Panthers, Carolina CAR Def","Panthers,",Carolina,CAR,Def,194.83,9,446,1297,2013
1386,"Hunter, Justin TEN WR","Hunter,",Justin,TEN,WR,194.93,21,586,1119,2013
1387,"Cooper, Riley PHI WR","Cooper,",Riley,PHI,WR,196.27,33,539,1488,2013
1388,"Patton, Quinton SFO WR","Patton,",Quinton,SFO,WR,196.73,19,585,1384,2013
1389,"Forbath, Kai WAS PK","Forbath,",Kai,WAS,PK,197.41,44,1063,3123,2013
1390,"Saints, NewOrleans NOS Def","Saints,",NewOrleans,NOS,Def,197.44,14,405,1097,2013
1391,"Colts, Indianapolis IND Def","Colts,",Indianapolis,IND,Def,197.85,17,444,1242,2013
1392,"Bills, Buffalo BUF Def","Bills,",Buffalo,BUF,Def,199.74,21,507,1305,2013
1393,"Lewis, Marcedes JAC TE","Lewis,",Marcedes,JAC,TE,199.74,42,1069,1756,2013
1394,"Taylor, Stepfan ARI RB","Taylor,",Stepfan,ARI,RB,200.92,12,600,1477,2013
1395,"Chiefs, KansasCity KCC Def","Chiefs,",KansasCity,KCC,Def,201.39,26,418,1394,2013
1396,"Moore, William ATL S","Moore,",William,ATL,S,201.42,36,934,487,2013
1397,"Kerley, Jeremy NYJ WR","Kerley,",Jeremy,NYJ,WR,201.95,47,615,1797,2013
1398,"Pryor, Terrelle OAK QB","Pryor,",Terrelle,OAK,QB,201.98,1,621,1109,2013
1399,"McCourty, Jason TEN CB","McCourty,",Jason,TEN,CB,202.57,30,962,461,2013
1400,"Jones, Felix PIT RB","Jones,",Felix,PIT,RB,202.7,13,739,1029,2013
1401,"Kelce, Travis KCC TE","Kelce,",Travis,KCC,TE,202.86,12,588,1164,2013
1402,"Murray, Latavius OAK RB","Murray,",Latavius,OAK,RB,203.01,25,601,956,2013
1403,"Dunbar, Lance DAL RB","Dunbar,",Lance,DAL,RB,203.23,36,602,1337,2013
1404,"Landry, LaRon IND S","Landry,",LaRon,IND,S,204.18,35,886,505,2013
1405,"Tynes, Lawrence TBB PK","Tynes,",Lawrence,TBB,PK,204.54,41,1076,1423,2013
1406,"Jets, NewYork NYJ Def","Jets,",NewYork,NYJ,Def,204.59,15,512,1186,2013
1407,"Gerhart, Toby MIN RB","Gerhart,",Toby,MIN,RB,204.61,15,685,1530,2013
1408,"Henery, Alex PHI PK","Henery,",Alex,PHI,PK,205.4,31,1077,2164,2013
1409,"McGahee, Willis CLE RB","McGahee,",Willis,CLE,RB,205.76,19,611,772,2013
1410,"Titans, Tennessee TEN Def","Titans,",Tennessee,TEN,Def,207.07,19,417,671,2013
1411,"Nugent, Mike CIN PK","Nugent,",Mike,CIN,PK,207.18,41,1067,1572,2013
1412,"Goodson, Mike NYJ RB","Goodson,",Mike,NYJ,RB,207.93,30,642,1066,2013
1413,"Harper, Roman NOS S","Harper,",Roman,NOS,S,208.59,46,915,474,2013
1414,"Blount, LeGarrette NEP RB","Blount,",LeGarrette,NEP,RB,209.11,15,688,976,2013
1415,"Collie, Austin NEP WR","Collie,",Austin,NEP,WR,209.23,39,518,617,2013
1416,"Jenkins, A.J. KCC WR","Jenkins,",A.J.,KCC,WR,210.09,59,480,985,2013
1417,"Ballard, Jake ARI TE","Ballard,",Jake,ARI,TE,210.52,34,702,750,2013
1418,"Sturgis, Caleb MIA PK","Sturgis,",Caleb,MIA,PK,211.05,1,661,838,2013
1419,"Flynn, Matt GBP QB","Flynn,",Matt,GBP,QB,211.11,14,542,898,2013
1420,"Gillislee, Mike MIA RB","Gillislee,",Mike,MIA,RB,211.61,31,623,880,2013
1421,"Tamme, Jacob DEN TE","Tamme,",Jacob,DEN,TE,211.61,44,733,893,2013
1422,"Eagles, Philadelphia PHI Def","Eagles,",Philadelphia,PHI,Def,212.11,25,445,602,2013
1423,"Avery, Donnie KCC WR","Avery,",Donnie,KCC,WR,213.05,17,563,1296,2013
1424,"Williams, Terrance DAL WR","Williams,",Terrance,DAL,WR,213.25,14,595,1019,2013
1425,"Burleson, Nate DET WR","Burleson,",Nate,DET,WR,213.6,37,642,1172,2013
1426,"Suisham, Shaun PIT PK","Suisham,",Shaun,PIT,PK,214.09,15,1066,1014,2013
1427,"Tolbert, Mike CAR RB","Tolbert,",Mike,CAR,RB,214.15,15,694,1087,2013
1428,"Morgan, Joseph NOS WR*","Morgan,",Joseph,NOS,WR*,214.45,28,495,620,2013
1429,"Ellington, Andre ARI RB","Ellington,",Andre,ARI,RB,214.47,26,643,725,2013
1430,"Washington, Nate TEN WR","Washington,",Nate,TEN,WR,214.77,40,683,985,2013
1431,"McCluster, Dexter KCC WR","McCluster,",Dexter,KCC,WR,215.51,37,607,1245,2013
1432,"Avant, Jason PHI WR","Avant,",Jason,PHI,WR,216.15,54,673,526,2013
1433,"Succop, Ryan KCC PK","Succop,",Ryan,KCC,PK,216.16,27,677,971,2013
1434,"Jennings, Rashad OAK RB","Jennings,",Rashad,OAK,RB,216.59,16,730,910,2013
1435,"Bironas, Rob TEN PK","Bironas,",Rob,TEN,PK,217.06,28,1042,1333,2013
1436,"Lloyd, Brandon FA WR","Lloyd,",Brandon,FA,WR,217.59,59,653,782,2013
1437,"Baldwin, Jon SFO WR","Baldwin,",Jon,SFO,WR,218.22,41,486,1058,2013
1438,"Barth, Connor TBB PK*","Barth,",Connor,TBB,PK*,222.15,66,655,597,2013
1439,"Walker, Delanie TEN TE","Walker,",Delanie,TEN,TE,222.39,52,564,772,2013
1440,"Graham, Shayne NOS PK","Graham,",Shayne,NOS,PK,222.49,32,834,513,2013
1441,"Hankerson, Leonard WAS WR","Hankerson,",Leonard,WAS,WR,222.6,65,523,948,2013
1442,"Barner, Kenjon CAR RB","Barner,",Kenjon,CAR,RB,224.36,30,652,722,2013
1443,"Cousins, Kirk WAS QB","Cousins,",Kirk,WAS,QB,224.64,16,666,747,2013
1444,"Rogers, Da'Rick IND WR","Rogers,",Da'Rick,IND,WR,224.71,23,644,505,2013
1445,"Gabbert, Blaine JAC QB","Gabbert,",Blaine,JAC,QB,225.41,5,696,528,2013
1446,"Foles, Nick PHI QB","Foles,",Nick,PHI,QB,225.48,17,659,685,2013
1447,"Bailey, Stedman STL WR","Bailey,",Stedman,STL,WR,226.01,26,717,623,2013
1448,"Chandler, Scott BUF TE","Chandler,",Scott,BUF,TE,226.58,23,768,676,2013
1449,"Toon, Nick NOS WR","Toon,",Nick,NOS,WR,227.83,31,666,765,2013
1450,"Forsett, Justin JAC RB","Forsett,",Justin,JAC,RB,228.86,26,656,759,2013
1451,"Feely, Jay ARI PK","Feely,",Jay,ARI,PK,230.35,49,627,501,2013
1452,"Bess, Davone CLE WR","Bess,",Davone,CLE,WR,240.31,55,621,697,2013
1453,"Boyce, Josh NEP WR","Boyce,",Josh,NEP,WR,241.94,26,595,492,2013
1454,"Wright, Jarius MIN WR","Wright,",Jarius,MIN,WR,245.18,49,575,487,2013
1455,"McCoy, LeSean PHI RB","McCoy,",LeSean,PHI,RB,2.77,1,221,8257,2014
1456,"Charles, Jamaal KCC RB","Charles,",Jamaal,KCC,RB,3.55,1,223,8277,2014
1457,"Peterson, Adrian MIN RB*","Peterson,",Adrian,MIN,RB*,4.92,1,211,8265,2014
1458,"Johnson, Calvin DET WR","Johnson,",Calvin,DET,WR,6.47,1,356,8298,2014
1459,"Forte, Matt CHI RB","Forte,",Matt,CHI,RB,7.1,1,194,8299,2014
1460,"Lacy, Eddie GBP RB","Lacy,",Eddie,GBP,RB,9,1,207,8250,2014
1461,"Thomas, Demaryius DEN WR","Thomas,",Demaryius,DEN,WR,9.84,1,220,8276,2014
1462,"Manning, Peyton DEN QB","Manning,",Peyton,DEN,QB,10.34,1,208,8039,2014
1463,"Graham, Jimmy NOS TE","Graham,",Jimmy,NOS,TE,10.66,1,240,8288,2014
1464,"Bryant, Dez DAL WR","Bryant,",Dez,DAL,WR,13.03,1,213,8298,2014
1465,"Green, A.J. CIN WR","Green,",A.J.,CIN,WR,13.5,1,213,8302,2014
1466,"Rodgers, Aaron GBP QB","Rodgers,",Aaron,GBP,QB,14.61,1,214,8050,2014
1467,"Lynch, Marshawn SEA RB","Lynch,",Marshawn,SEA,RB,15.33,1,212,8297,2014
1468,"Brees, Drew NOS QB","Brees,",Drew,NOS,QB,15.88,1,214,8056,2014
