#,Player,Lastname,FirstName,Team,Pos,Avg. Pick,Min. Pick,Max. Pick,# Drafts Selected In,Season
1583,"Pierce, Bernard BAL RB","Pierce,",Bernard,BAL,RB,121.25,12,488,7282,2014
1584,"Miller, Von DEN LB","Miller,",Von,DEN,LB,121.26,3,310,659,2014
1585,"Gordon, Josh CLE WR*","Gordon,",Josh,CLE,WR*,121.48,1,548,3798,2014
1586,"Roethlisberger, Ben PIT QB","Roethlisberger,",Ben,PIT,QB,121.63,1,566,7561,2014
1587,"Freeman, Devonta ATL RB","Freeman,",Devonta,ATL,RB,121.71,5,906,7137,2014
1588,"Boldin, Anquan SFO WR","Boldin,",Anquan,SFO,WR,122.13,2,342,7482,2014
1589,"Rams, St.Louis STL Def","Rams,",St.Louis,STL,Def,122.87,10,467,7470,2014
1590,"Thomas, Earl SEA S","Thomas,",Earl,SEA,S,122.96,1,423,652,2014
1591,"Austin, Tavon STL WR","Austin,",Tavon,STL,WR,123.36,15,349,6925,2014
1592,"Broncos, Denver DEN Def","Broncos,",Denver,DEN,Def,123.63,14,470,7430,2014
1593,"Shorts, Cecil JAC WR","Shorts,",Cecil,JAC,WR,124.83,5,368,6976,2014
1594,"Green, Ladarius SDC TE","Green,",Ladarius,SDC,TE,124.87,13,436,7109,2014
1595,"Hill, Jeremy CIN RB","Hill,",Jeremy,CIN,RB,127.98,4,905,6732,2014
1596,"Nicks, Hakeem IND WR","Nicks,",Hakeem,IND,WR,128.01,6,402,6928,2014
1597,"Chiefs, KansasCity KCC Def","Chiefs,",KansasCity,KCC,Def,128.4,2,471,7433,2014
1598,"Smith, Harrison MIN S","Smith,",Harrison,MIN,S,128.62,17,425,640,2014
1599,"Mayo, Jerod NEP LB","Mayo,",Jerod,NEP,LB,128.86,12,356,619,2014
1600,"Pierre-Paul, Jason NYG DE","Pierre-Paul,",Jason,NYG,DE,128.91,13,326,613,2014
1601,"Kendricks, Mychal PHI LB","Kendricks,",Mychal,PHI,LB,129.35,10,319,591,2014
1602,"Church, Barry DAL S","Church,",Barry,DAL,S,130.89,10,426,633,2014
1603,"Ingram, Mark NOS RB","Ingram,",Mark,NOS,RB,130.91,6,633,6876,2014
1604,"Bengals, Cincinnati CIN Def","Bengals,",Cincinnati,CIN,Def,131.16,12,466,7369,2014
1605,"West, Terrance CLE RB","West,",Terrance,CLE,RB,131.99,7,904,6429,2014
1606,"Clay, Charles MIA TE","Clay,",Charles,MIA,TE,132.04,7,382,6896,2014
1607,"Clowney, Jadeveon HOU LB","Clowney,",Jadeveon,HOU,LB,132.4,2,929,665,2014
1608,"Matthews, Jordan PHI WR","Matthews,",Jordan,PHI,WR,133.13,3,899,6111,2014
1609,"Ebron, Eric DET TE","Ebron,",Eric,DET,TE,133.25,2,912,6707,2014
1610,"Amendola, Danny NEP WR","Amendola,",Danny,NEP,WR,133.98,7,504,6737,2014
1611,"McFadden, Darren OAK RB","McFadden,",Darren,OAK,RB,134.48,4,621,6962,2014
1612,"Williams, DeAngelo CAR RB","Williams,",DeAngelo,CAR,RB,135.35,17,628,7020,2014
1613,"Patriots, NewEngland NEP Def","Patriots,",NewEngland,NEP,Def,137.22,6,348,7242,2014
1614,"Michael, Christine SEA RB","Michael,",Christine,SEA,RB,137.56,6,598,5763,2014
1615,"Wilkerson, Muhammad NYJ DE","Wilkerson,",Muhammad,NYJ,DE,137.82,11,319,587,2014
1616,"Prater, Matt DET PK","Prater,",Matt,DET,PK,138.32,17,749,7157,2014
1617,"Bowman, Navorro SFO LB","Bowman,",Navorro,SFO,LB,138.45,2,411,554,2014
1618,"Wheaton, Markus PIT WR","Wheaton,",Markus,PIT,WR,139.11,11,443,6228,2014
1619,"Cardinals, Arizona ARI Def","Cardinals,",Arizona,ARI,Def,140.14,13,356,7137,2014
1620,"Gates, Antonio SDC TE","Gates,",Antonio,SDC,TE,141.02,10,485,6728,2014
1621,"Palmer, Carson ARI QB","Palmer,",Carson,ARI,QB,141.06,1,656,6378,2014
1622,"Berry, Eric KCC S","Berry,",Eric,KCC,S,141.06,25,427,629,2014
1623,"Worrilow, Paul ATL LB","Worrilow,",Paul,ATL,LB,141.82,11,360,549,2014
1624,"Stills, Kenny NOS WR","Stills,",Kenny,NOS,WR,142.94,12,378,5872,2014
1625,"Jordan, Cameron NOS DE","Jordan,",Cameron,NOS,DE,143.38,12,325,581,2014
1626,"Williams, Andre NYG RB","Williams,",Andre,NYG,RB,143.63,6,939,5916,2014
1627,"Tannehill, Ryan MIA QB","Tannehill,",Ryan,MIA,QB,143.94,7,464,6094,2014
1628,"Hauschka, Steven SEA PK","Hauschka,",Steven,SEA,PK,143.97,5,878,7752,2014
1629,"Weddle, Eric SDC S","Weddle,",Eric,SDC,S,144.02,7,431,618,2014
1630,"Tucker, Justin BAL PK","Tucker,",Justin,BAL,PK,144.18,18,752,7746,2014
1631,"Freeman, Jerrell IND LB","Freeman,",Jerrell,IND,LB,144.78,4,419,557,2014
1632,"Wake, Cameron MIA DE","Wake,",Cameron,MIA,DE,145.58,12,548,607,2014
1633,"Smith, Alex KCC QB","Smith,",Alex,KCC,QB,146.25,4,515,5740,2014
1634,"Miller, Heath PIT TE","Miller,",Heath,PIT,TE,146.73,27,687,6245,2014
1635,"Jennings, Greg MIN WR","Jennings,",Greg,MIN,WR,147.4,12,510,6007,2014
1636,"Ware, Demarcus DEN DE","Ware,",Demarcus,DEN,DE,147.47,8,529,603,2014
1637,"Greenway, Chad MIN LB","Greenway,",Chad,MIN,LB,148.11,14,437,564,2014
1638,"Robinson, Khiry NOS RB","Robinson,",Khiry,NOS,RB,148.18,10,597,5683,2014
1639,"Smith, Steve BAL WR","Smith,",Steve,BAL,WR,148.86,12,489,5998,2014
1640,"Ward, T.J. DEN S","Ward,",T.J.,DEN,S,150.12,21,430,598,2014
1641,"Boykin, Jarrett GBP WR","Boykin,",Jarrett,GBP,WR,150.23,14,432,5528,2014
1642,"Cushing, Brian HOU LB","Cushing,",Brian,HOU,LB,150.26,11,459,549,2014
1643,"Flacco, Joe BAL QB","Flacco,",Joe,BAL,QB,151.91,1,567,5375,2014
1644,"Manning, Eli NYG QB","Manning,",Eli,NYG,QB,152.36,1,617,5307,2014
1645,"Sherman, Richard SEA CB","Sherman,",Richard,SEA,CB,152.66,21,451,585,2014
1646,"Eifert, Tyler CIN TE","Eifert,",Tyler,CIN,TE,152.67,15,375,5224,2014
1647,"Campbell, Calais ARI DE","Campbell,",Calais,ARI,DE,153.57,10,344,545,2014
1648,"Peterson, Patrick ARI CB","Peterson,",Patrick,ARI,CB,153.69,24,500,578,2014
1649,"Manziel, Johnny CLE QB","Manziel,",Johnny,CLE,QB,153.9,1,907,5251,2014
1650,"Crosby, Mason GBP PK","Crosby,",Mason,GBP,PK,154.24,12,772,7559,2014
1651,"Texans, Houston HOU Def","Texans,",Houston,HOU,Def,154.43,1,420,6243,2014
1652,"Jones, Marvin CIN WR","Jones,",Marvin,CIN,WR,154.47,22,472,4658,2014
1653,"Lee, Marqise JAC WR","Lee,",Marqise,JAC,WR,154.74,5,909,4840,2014
1654,"Hartline, Brian MIA WR","Hartline,",Brian,MIA,WR,155.06,4,476,5172,2014
1655,"Williams, Mario BUF DE","Williams,",Mario,BUF,DE,156.75,2,617,543,2014
1656,"Dobson, Aaron NEP WR","Dobson,",Aaron,NEP,WR,156.83,9,481,4696,2014
1657,"Trevathan, Danny DEN LB","Trevathan,",Danny,DEN,LB,157.04,11,398,472,2014
1658,"Cyprien, Johnathan JAC S","Cyprien,",Johnathan,JAC,S,157.6,22,432,559,2014
1659,"Jones, James OAK WR","Jones,",James,OAK,WR,158.12,5,584,5176,2014
1660,"Mason, Tre STL RB","Mason,",Tre,STL,RB,158.83,7,913,4362,2014
1661,"Allen, Dwayne IND TE","Allen,",Dwayne,IND,TE,158.91,12,520,4767,2014
1662,"Dawson, Phil SFO PK","Dawson,",Phil,SFO,PK,159.34,15,953,7448,2014
1663,"Kelce, Travis KCC TE","Kelce,",Travis,KCC,TE,159.5,11,471,4493,2014
1664,"Shazier, Ryan PIT LB","Shazier,",Ryan,PIT,LB,159.65,4,911,538,2014
1665,"Davis, Knile KCC RB","Davis,",Knile,KCC,RB,159.93,8,715,5092,2014
1666,"Ninkovich, Rob NEP DE","Ninkovich,",Rob,NEP,DE,159.98,13,427,552,2014
1667,"Timmons, Lawrence PIT LB","Timmons,",Lawrence,PIT,LB,160.28,23,502,517,2014
1668,"Bears, Chicago CHI Def","Bears,",Chicago,CHI,Def,160.62,5,479,5378,2014
1669,"Walker, Delanie TEN TE","Walker,",Delanie,TEN,TE,161.06,30,542,5026,2014
1670,"Bailey, Dan DAL PK","Bailey,",Dan,DAL,PK,161.2,11,856,7463,2014
1671,"Mosley, C.J. BAL LB","Mosley,",C.J.,BAL,LB,161.61,10,914,470,2014
1672,"Britt, Kenny STL WR","Britt,",Kenny,STL,WR,161.86,11,476,4498,2014
1673,"Ryans, DeMeco PHI LB","Ryans,",DeMeco,PHI,LB,162.03,17,533,497,2014
1674,"Ivory, Chris NYJ RB","Ivory,",Chris,NYJ,RB,163.13,21,660,4830,2014
1675,"Burnett, Morgan GBP S","Burnett,",Morgan,GBP,S,163.85,6,437,558,2014
1676,"Vinatieri, Adam IND PK","Vinatieri,",Adam,IND,PK,164.31,21,918,6859,2014
1677,"Blount, LeGarrette NEP RB","Blount,",LeGarrette,NEP,RB,164.37,20,718,5042,2014
1678,"Beckham, Odell NYG WR","Beckham,",Odell,NYG,WR,164.61,7,902,3615,2014
1679,"Stewart, Jonathan CAR RB","Stewart,",Jonathan,CAR,RB,164.84,5,866,4523,2014
1680,"Mack, Khalil OAK LB","Mack,",Khalil,OAK,LB,165.32,12,928,504,2014
1681,"McCown, Josh TBB QB","McCown,",Josh,TBB,QB,166.4,4,843,3786,2014
1682,"Saints, NewOrleans NOS Def","Saints,",NewOrleans,NOS,Def,166.72,4,504,4204,2014
1683,"Allen, Jared CHI DE","Allen,",Jared,CHI,DE,166.83,11,654,564,2014
1684,"Baldwin, Doug SEA WR","Baldwin,",Doug,SEA,WR,167.86,18,685,4202,2014
1685,"Ansah, Ezekiel DET DE","Ansah,",Ezekiel,DET,DE,168.19,17,319,454,2014
1686,"Wilson, David FA RB","Wilson,",David,FA,RB,168.56,11,683,1074,2014
1687,"Bradshaw, Ahmad IND RB","Bradshaw,",Ahmad,IND,RB,168.61,25,693,4324,2014
1688,"Browns, Cleveland CLE Def","Browns,",Cleveland,CLE,Def,168.67,2,482,4424,2014
1689,"Bradford, Sam STL QB","Bradford,",Sam,STL,QB,169.4,6,582,1789,2014
1690,"Vaccaro, Kenny NOS S","Vaccaro,",Kenny,NOS,S,169.43,15,438,545,2014
1691,"Bills, Buffalo BUF Def","Bills,",Buffalo,BUF,Def,169.5,5,488,4016,2014
1692,"Barron, Mark STL S","Barron,",Mark,STL,S,169.58,5,435,523,2014
1693,"Atkins, Geno CIN DT","Atkins,",Geno,CIN,DT,169.69,28,476,477,2014
1694,"Bridgewater, Teddy MIN QB","Bridgewater,",Teddy,MIN,QB,170.23,3,908,2636,2014
1695,"Blackmon, Justin JAC WR*","Blackmon,",Justin,JAC,WR*,170.46,27,863,907,2014
1696,"Latimer, Cody DEN WR","Latimer,",Cody,DEN,WR,170.71,13,915,3261,2014
1697,"Buccaneers, TampaBay TBB Def","Buccaneers,",TampaBay,TBB,Def,171.08,25,453,4305,2014
1698,"Fleener, Coby IND TE","Fleener,",Coby,IND,TE,171.32,19,638,3493,2014
1699,"Packers, GreenBay GBP Def","Packers,",GreenBay,GBP,Def,171.59,4,498,3262,2014
1700,"Levy, DeAndre DET LB","Levy,",DeAndre,DET,LB,173.38,12,466,414,2014
1701,"Dunbar, Lance DAL RB","Dunbar,",Lance,DAL,RB,173.46,15,712,3647,2014
1702,"Walsh, Blair MIN PK","Walsh,",Blair,MIN,PK,173.66,1,862,6043,2014
1703,"Ravens, Baltimore BAL Def","Ravens,",Baltimore,BAL,Def,173.77,9,511,3513,2014
1704,"Greene, Shonn TEN RB","Greene,",Shonn,TEN,RB,174.17,15,975,3569,2014
1705,"Suh, Ndamukong DET DT","Suh,",Ndamukong,DET,DT,174.34,5,503,493,2014
1706,"Dunlap, Carlos CIN DE","Dunlap,",Carlos,CIN,DE,174.41,14,481,469,2014
1707,"Bortles, Blake JAC QB","Bortles,",Blake,JAC,QB,174.54,4,919,2361,2014
1708,"White, James NEP RB","White,",James,NEP,RB,175.34,12,931,3061,2014
1709,"Austin, Miles CLE WR","Austin,",Miles,CLE,WR,175.48,7,736,3801,2014
1710,"Steelers, Pittsburgh PIT Def","Steelers,",Pittsburgh,PIT,Def,175.6,10,506,3624,2014
1711,"Rolle, Antrel NYG S","Rolle,",Antrel,NYG,S,176.09,32,445,530,2014
1712,"Seferian-Jenkins, Austin TBB TE","Seferian-Jenkins,",Austin,TBB,TE,176.54,16,925,2654,2014
1713,"Hawkins, Andrew CLE WR","Hawkins,",Andrew,CLE,WR,176.59,1,688,3266,2014
1714,"Gould, Robbie CHI PK","Gould,",Robbie,CHI,PK,176.67,23,1063,5411,2014
1715,"Woods, Robert BUF WR","Woods,",Robert,BUF,WR,177.62,9,461,2883,2014
1716,"Wright, Tim NEP TE","Wright,",Tim,NEP,TE,178.78,3,943,2527,2014
1717,"Locker, Jake TEN QB","Locker,",Jake,TEN,QB,179.1,2,825,2285,2014
1718,"Houston, Justin KCC LB","Houston,",Justin,KCC,LB,179.89,1,511,416,2014
1719,"Bryant, Matt ATL PK","Bryant,",Matt,ATL,PK,179.95,39,1100,5496,2014
1720,"Manuel, E.J. BUF QB","Manuel,",E.J.,BUF,QB,179.99,4,882,1952,2014
1721,"Graham, Shayne NOS PK","Graham,",Shayne,NOS,PK,180.28,22,1064,4252,2014
1722,"Adams, Davante GBP WR","Adams,",Davante,GBP,WR,180.67,10,918,1848,2014
1723,"Novak, Nick SDC PK","Novak,",Nick,SDC,PK,181.02,15,1118,4975,2014
1724,"Carey, Ka'Deem CHI RB","Carey,",Ka'Deem,CHI,RB,181.07,9,921,2476,2014
1725,"Richardson, Sheldon NYJ DE","Richardson,",Sheldon,NYJ,DE,182.06,20,408,426,2014
1726,"Cook, Jared STL TE","Cook,",Jared,STL,TE,182.28,13,689,2814,2014
1727,"Chancellor, Kam SEA S","Chancellor,",Kam,SEA,S,182.58,49,536,496,2014
1728,"Grimes, Jonathan HOU RB","Grimes,",Jonathan,HOU,RB,182.79,15,1306,2118,2014
1729,"Janikowski, Sebastian OAK PK","Janikowski,",Sebastian,OAK,PK,184.37,14,1202,2801,2014
1730,"Graham, Garrett HOU TE","Graham,",Garrett,HOU,TE,184.57,16,619,2702,2014
1731,"Matthews, Clay GBP LB","Matthews,",Clay,GBP,LB,184.66,9,578,469,2014
1732,"Amaro, Jace NYJ TE","Amaro,",Jace,NYJ,TE,185.24,22,924,2087,2014
1733,"Parkey, Cody PHI PK","Parkey,",Cody,PHI,PK,185.54,5,1850,1211,2014
1734,"Smith, Geno NYJ QB","Smith,",Geno,NYJ,QB,185.56,1,883,1933,2014
1735,"Hall, Deangelo WAS CB","Hall,",Deangelo,WAS,CB,186.74,37,491,485,2014
1736,"Robinson, Allen JAC WR","Robinson,",Allen,JAC,WR,186.93,3,916,1355,2014
1737,"Sims, Charles TBB RB","Sims,",Charles,TBB,RB,187.6,18,932,1344,2014
1738,"Eagles, Philadelphia PHI Def","Eagles,",Philadelphia,PHI,Def,187.6,22,501,1964,2014
1739,"Starks, James GBP RB","Starks,",James,GBP,RB,188.5,17,897,2737,2014
1740,"Giants, NewYork NYG Def","Giants,",NewYork,NYG,Def,188.87,15,503,1569,2014
1741,"Lattimore, Marcus FA RB","Lattimore,",Marcus,FA,RB,189.4,7,612,1395,2014
1742,"Vernon, Olivier MIA DE","Vernon,",Olivier,MIA,DE,189.47,29,373,413,2014
1743,"Mathieu, Tyrann ARI S","Mathieu,",Tyrann,ARI,S,189.79,9,443,477,2014
1744,"Brown, Bryce BUF RB","Brown,",Bryce,BUF,RB,190.38,6,736,1997,2014
1745,"Hillman, Ronnie DEN RB","Hillman,",Ronnie,DEN,RB,190.52,28,880,2464,2014
1746,"Jets, NewYork NYJ Def","Jets,",NewYork,NYJ,Def,190.71,8,483,2113,2014
1747,"Helu, Roy WAS RB","Helu,",Roy,WAS,RB,190.84,30,1021,2665,2014
1748,"Douglas, Harry ATL WR","Douglas,",Harry,ATL,WR,190.92,27,609,2470,2014
1749,"McCluster, Dexter TEN RB","McCluster,",Dexter,TEN,RB,191.11,9,701,2270,2014
1750,"Rodgers, Richard GBP TE","Rodgers,",Richard,GBP,TE,191.51,14,662,2091,2014
1751,"Pollard, Bernard TEN S","Pollard,",Bernard,TEN,S,191.81,35,509,463,2014
1752,"Zuerlein, Greg STL PK","Zuerlein,",Greg,STL,PK,192.07,22,1048,3079,2014
1753,"Streater, Rod OAK WR","Streater,",Rod,OAK,WR,192.17,24,726,2299,2014
1754,"Lions, Detroit DET Def","Lions,",Detroit,DET,Def,192.63,5,511,1605,2014
1755,"Fitzpatrick, Ryan HOU QB","Fitzpatrick,",Ryan,HOU,QB,193.58,12,849,1346,2014
1756,"Floyd, Malcom SDC WR","Floyd,",Malcom,SDC,WR,193.6,31,858,2188,2014
1757,"Moncrief, Donte IND WR","Moncrief,",Donte,IND,WR,193.71,7,917,1126,2014
1758,"Johnson, Stevie SFO WR","Johnson,",Stevie,SFO,WR,194.01,15,753,2107,2014
1759,"Colts, Indianapolis IND Def","Colts,",Indianapolis,IND,Def,194.1,10,457,1305,2014
1760,"Houston, Lamarr CHI DE","Houston,",Lamarr,CHI,DE,194.27,44,522,414,2014
1761,"Jackson, D'Qwell IND LB","Jackson,",D'Qwell,IND,LB,194.31,27,637,416,2014
1762,"Branch, Tyvon OAK S","Branch,",Tyvon,OAK,S,195.16,25,577,450,2014
1763,"Johnson, Charles CAR DE","Johnson,",Charles,CAR,DE,195.74,37,680,429,2014
1764,"Brown, John ARI WR","Brown,",John,ARI,WR,195.79,20,583,1741,2014
1765,"Hill, Shaun STL QB","Hill,",Shaun,STL,QB,195.88,4,1576,716,2014
1766,"Brown, Donald SDC RB","Brown,",Donald,SDC,RB,196.05,41,831,2063,2014
1767,"Cassel, Matt MIN QB","Cassel,",Matt,MIN,QB,196.3,7,1273,975,2014
1768,"Brown, Andre FA RB","Brown,",Andre,FA,RB,196.44,35,755,950,2014
1769,"Carr, Derek OAK QB","Carr,",Derek,OAK,QB,196.57,3,935,1363,2014
1770,"Henery, Alex FA* PK","Henery,",Alex,FA*,PK,196.86,49,1095,1814,2014
1771,"Anderson, C.J. DEN RB","Anderson,",C.J.,DEN,RB,197.05,13,838,1797,2014
1772,"Folk, Nick NYJ PK","Folk,",Nick,NYJ,PK,197.13,20,1172,1949,2014
1773,"McManus, Brandon DEN PK","McManus,",Brandon,DEN,PK,197.24,10,1820,473,2014
1774,"Vikings, Minnesota MIN Def","Vikings,",Minnesota,MIN,Def,197.41,20,535,875,2014
1775,"Rodgers, Jacquizz ATL RB","Rodgers,",Jacquizz,ATL,RB,198.92,30,806,1799,2014
1776,"Freese, Nate FA PK","Freese,",Nate,FA,PK,199.57,2,1123,1853,2014
1777,"LaFell, Brandon NEP WR","LaFell,",Brandon,NEP,WR,199.99,15,775,1808,2014
1778,"Dolphins, Miami MIA Def","Dolphins,",Miami,MIA,Def,200.22,7,527,1033,2014
1779,"Tillman, Charles CHI CB","Tillman,",Charles,CHI,CB,200.25,22,748,484,2014
1780,"Cunningham, Benny STL RB","Cunningham,",Benny,STL,RB,200.97,17,1275,1382,2014
1781,"Thompkins, Kenbrell OAK WR","Thompkins,",Kenbrell,OAK,WR,201.02,45,653,1835,2014
1782,"Cotchery, Jerricho CAR WR","Cotchery,",Jerricho,CAR,WR,201.66,16,606,1832,2014
1783,"Sanu, Mohamed CIN WR","Sanu,",Mohamed,CIN,WR,202.26,39,957,1561,2014
1784,"Carpenter, Dan BUF PK","Carpenter,",Dan,BUF,PK,203.28,37,1131,1534,2014
1785,"Long, Chris STL DE","Long,",Chris,STL,DE,203.96,24,605,418,2014
1786,"Schaub, Matt OAK QB","Schaub,",Matt,OAK,QB,204,2,813,894,2014
1787,"Nugent, Mike CIN PK","Nugent,",Mike,CIN,PK,204.51,46,1295,1231,2014
1788,"McKinnon, Jerick MIN RB","McKinnon,",Jerick,MIN,RB,204.74,32,942,1052,2014
1789,"Suisham, Shaun PIT PK","Suisham,",Shaun,PIT,PK,204.96,42,1258,1607,2014
1790,"Cowboys, Dallas DAL Def","Cowboys,",Dallas,DAL,Def,206.69,9,492,542,2014
1791,"Bryant, Martavis PIT WR","Bryant,",Martavis,PIT,WR,207.23,23,926,866,2014
1792,"Crowell, Isaiah CLE RB","Crowell,",Isaiah,CLE,RB,208.25,19,941,936,2014
1793,"Tuck, Justin OAK DE","Tuck,",Justin,OAK,DE,208.32,20,569,415,2014
1794,"Celek, Brent PHI TE","Celek,",Brent,PHI,TE,208.33,17,1194,1068,2014
1795,"Williams, Mike FA WR","Williams,",Mike,FA,WR,209.53,9,557,1558,2014
1796,"Succop, Ryan TEN PK","Succop,",Ryan,TEN,PK,209.59,1,1231,1190,2014
1797,"Hurns, Allen JAC WR","Hurns,",Allen,JAC,WR,209.91,31,1133,578,2014
1798,"Murray, Latavius OAK RB","Murray,",Latavius,OAK,RB,210.08,25,723,973,2014
1799,"Redskins, Washington WAS Def","Redskins,",Washington,WAS,Def,210.35,16,496,566,2014
1800,"Chargers, SanDiego SDC Def","Chargers,",SanDiego,SDC,Def,210.65,11,479,713,2014
1801,"Moore, Denarius OAK WR","Moore,",Denarius,OAK,WR,211.63,30,843,1243,2014
1802,"Archer, Dri PIT RB","Archer,",Dri,PIT,RB,212.18,9,782,1147,2014
1803,"Byrd, Jairus NOS S","Byrd,",Jairus,NOS,S,212.45,51,873,426,2014
1804,"Landry, Jarvis MIA WR","Landry,",Jarvis,MIA,WR,213.13,27,927,902,2014
1805,"Gano, Graham CAR PK","Gano,",Graham,CAR,PK,213.9,54,1286,1183,2014
1806,"Vick, Michael NYJ QB","Vick,",Michael,NYJ,QB,214.18,7,1158,998,2014
1807,"Richardson, Paul SEA WR","Richardson,",Paul,SEA,WR,214.99,20,933,833,2014
1808,"Titans, Tennessee TEN Def","Titans,",Tennessee,TEN,Def,217.64,6,469,565,2014
1809,"Seastrunk, Lache TEN RB","Seastrunk,",Lache,TEN,RB,217.67,16,1030,606,2014
1810,"Blue, Alfred HOU RB","Blue,",Alfred,HOU,RB,218.42,29,818,952,2014
1811,"Johnson, Storm JAC RB","Johnson,",Storm,JAC,RB,219.63,24,946,748,2014
1812,"Hoyer, Brian CLE QB","Hoyer,",Brian,CLE,QB,220.32,8,1002,722,2014
1813,"Holmes, Andre OAK WR","Holmes,",Andre,OAK,WR,220.53,34,826,935,2014
1814,"Sturgis, Caleb MIA PK","Sturgis,",Caleb,MIA,PK,221.8,39,1016,699,2014
1815,"Turbin, Robert SEA RB","Turbin,",Robert,SEA,RB,221.82,45,1189,1087,2014
1816,"Wilson, Marquess CHI WR","Wilson,",Marquess,CHI,WR,222.06,10,673,628,2014
1817,"Feely, Jay CHI PK","Feely,",Jay,CHI,PK,223.19,31,1289,533,2014
1818,"Lewis, Marcedes JAC TE","Lewis,",Marcedes,JAC,TE,223.62,37,1075,895,2014
1819,"Quarless, Andrew GBP TE","Quarless,",Andrew,GBP,TE,223.75,30,1502,625,2014
1820,"Thomas, De'Anthony KCC RB","Thomas,",De'Anthony,KCC,RB,224.17,13,783,754,2014
1821,"Toilolo, Levine ATL TE","Toilolo,",Levine,ATL,TE,225.34,19,704,966,2014
1822,"Kearse, Jermaine SEA WR","Kearse,",Jermaine,SEA,WR,226.78,24,771,914,2014
1823,"Taylor, Stepfan ARI RB","Taylor,",Stepfan,ARI,RB,227.12,39,645,898,2014
1824,"Henne, Chad JAC QB","Henne,",Chad,JAC,QB,227.89,1,965,460,2014
1825,"Caldwell, Andre DEN WR","Caldwell,",Andre,DEN,WR,227.95,39,1246,516,2014
1826,"Green-Ellis, BenJarvus FA* RB","Green-Ellis,",BenJarvus,FA*,RB,228.38,26,1124,527,2014
1827,"Brown, Josh NYG PK","Brown,",Josh,NYG,PK,229.65,53,1320,558,2014
1828,"Rogers, Da'Rick KCC WR","Rogers,",Da'Rick,KCC,WR,229.76,67,816,589,2014
1829,"Taliaferro, Lorenzo BAL RB","Taliaferro,",Lorenzo,BAL,RB,230.95,28,934,656,2014
1830,"Brown, Marlon BAL WR","Brown,",Marlon,BAL,WR,232.03,25,641,732,2014
1831,"Gresham, Jermaine CIN TE","Gresham,",Jermaine,CIN,TE,234.51,19,799,634,2014
1832,"Lyerla, Colt FA TE","Lyerla,",Colt,FA,TE,235.15,30,1018,415,2014
1833,"Polk, Chris PHI RB","Polk,",Chris,PHI,RB,236.17,5,930,777,2014
1834,"Cousins, Kirk WAS QB","Cousins,",Kirk,WAS,QB,237.03,14,1142,626,2014
1835,"Tolbert, Mike CAR RB","Tolbert,",Mike,CAR,RB,237.66,50,1060,589,2014
1836,"Rainey, Bobby TBB RB","Rainey,",Bobby,TBB,RB,238.49,33,1519,620,2014
1837,"Washington, Nate TEN WR","Washington,",Nate,TEN,WR,239.56,13,716,720,2014
1838,"Quick, Brian STL WR","Quick,",Brian,STL,WR,241.88,20,988,588,2014
1839,"Chandler, Scott BUF TE","Chandler,",Scott,BUF,TE,242.99,66,1074,531,2014
1840,"Todman, Jordan JAC RB","Todman,",Jordan,JAC,RB,244.96,61,966,619,2014
1841,"Avery, Donnie KCC WR","Avery,",Donnie,KCC,WR,245.55,21,1274,424,2014
1842,"Royal, Eddie SDC WR","Royal,",Eddie,SDC,WR,247.07,2,955,414,2014
1843,"Finley, Jermichael FA* TE","Finley,",Jermichael,FA*,TE,248.67,40,1279,480,2014
1844,"Moore, Lance PIT WR","Moore,",Lance,PIT,WR,249.08,23,1161,553,2014
1845,"Riddick, Theo DET RB","Riddick,",Theo,DET,RB,250.13,70,1035,524,2014
1846,"Fiedorowicz, C.J. HOU TE","Fiedorowicz,",C.J.,HOU,TE,252.33,42,1029,467,2014
1847,"Bailey, Stedman STL WR","Bailey,",Stedman,STL,WR,252.93,105,835,438,2014
1848,"Rivera, Mychal OAK TE","Rivera,",Mychal,OAK,TE,254.19,22,956,542,2014
1849,"Hill, Stephen CAR WR","Hill,",Stephen,CAR,WR,255.89,66,863,424,2014
1850,"Escobar, Gavin DAL TE","Escobar,",Gavin,DAL,TE,256.42,39,735,472,2014
1851,"Johnson, Charles MIN WR","Johnson,",Charles,MIN,WR,259.28,70,974,433,2014
1852,"Kerley, Jeremy NYJ WR","Kerley,",Jeremy,NYJ,WR,262.34,9,991,448,2014
1853,"Bell, Le'Veon PIT RB*","Bell,",Le'Veon,PIT,RB*,3.73,1,164,7615,2015
1854,"Lacy, Eddie GBP RB","Lacy,",Eddie,GBP,RB,5.84,1,162,7665,2015
1855,"Peterson, Adrian MIN RB","Peterson,",Adrian,MIN,RB,5.93,1,191,7665,2015
1856,"Brown, Antonio PIT WR","Brown,",Antonio,PIT,WR,6.03,1,172,7678,2015
1857,"Charles, Jamaal KCC RB*","Charles,",Jamaal,KCC,RB*,7.06,1,168,7602,2015
1858,"Luck, Andrew IND QB","Luck,",Andrew,IND,QB,9.06,1,183,7441,2015
1859,"Bryant, Dez DAL WR","Bryant,",Dez,DAL,WR,9.69,1,176,7673,2015
1860,"Jones, Julio ATL WR","Jones,",Julio,ATL,WR,11.27,1,178,7677,2015
1861,"Beckham, Odell NYG WR","Beckham,",Odell,NYG,WR,11.5,1,179,7681,2015
1862,"Lynch, Marshawn SEA RB","Lynch,",Marshawn,SEA,RB,11.87,1,165,7662,2015
